caseid,task,resource,role,end_timestamp,pr_instances,tsk_start_inst,start_timestamp
Case3,Packing,res_eb796550-ce37-4bc9-be26-807816ae3dd2,Role 2,2012-01-02 19:30:28,5,0,2012-01-02 18:58:56
Case10,Setup,res_f51ca602-89ef-48d4-86e7-605b47390e39,Role 1,2012-01-02 19:45:46,6,0,2012-01-02 19:28:55
Case7,Grinding Rework,res_f51ca602-89ef-48d4-86e7-605b47390e39,Role 1,2012-01-02 20:06:32,6,0,2012-01-02 19:38:08
Case11,Setup,res_48c69a5f-03d2-41e0-a484-cfc1bd7c180c,Role 1,2012-01-02 21:31:56,7,0,2012-01-02 21:13:42
Case12,Lapping,res_8db1c604-1359-4e3f-8a69-22e42c9694b7,Role 8,2012-01-02 22:23:15,8,0,2012-01-02 22:06:39
Case8,Laser Marking,res_8db1c604-1359-4e3f-8a69-22e42c9694b7,Role 7,2012-01-02 22:35:06,7,0,2012-01-02 22:05:20
Case13,Turn & Mill. & Screw Assem,res_8db1c604-1359-4e3f-8a69-22e42c9694b7,Role 1,2012-01-03 00:10:43,9,0,2012-01-02 23:50:08
Case10,Turning & Milling,res_f51ca602-89ef-48d4-86e7-605b47390e39,Role 1,2012-01-03 00:28:48,9,0,2012-01-03 00:00:18
Case14,Turn & Mill. & Screw Assem,res_f51ca602-89ef-48d4-86e7-605b47390e39,Role 1,2012-01-03 00:33:46,10,0,2012-01-03 00:13:02
Case6,Lapping,res_f51ca602-89ef-48d4-86e7-605b47390e39,Role 8,2012-01-03 00:41:25,9,0,2012-01-03 00:06:22
Case7,Fix,res_03ebc20b-61d2-4954-b915-e4c29ec4fb7c,Role 1,2012-01-03 02:11:05,10,0,2012-01-03 01:35:38
Case15,Round Grinding,res_03ebc20b-61d2-4954-b915-e4c29ec4fb7c,Role 3,2012-01-03 02:15:54,11,0,2012-01-03 01:54:36
Case11,Turning & Milling,res_03ebc20b-61d2-4954-b915-e4c29ec4fb7c,Role 1,2012-01-03 02:17:25,10,0,2012-01-03 01:46:59
Case12,Final Inspection Q.C.,res_a23de9ec-ed4b-40f3-bbf5-c9f0985d3ab6,Role 3,2012-01-03 02:56:44,11,0,2012-01-03 02:32:41
Case16,Packing,res_a23de9ec-ed4b-40f3-bbf5-c9f0985d3ab6,Role 2,2012-01-03 02:58:54,12,0,2012-01-03 02:38:55
Case3,Turning & Milling Q.C.,res_a23de9ec-ed4b-40f3-bbf5-c9f0985d3ab6,Role 6,2012-01-03 03:10:15,11,0,2012-01-03 02:31:55
Case17,Packing,res_e3586c1b-5a5c-4a12-9109-8c0f2963e3db,Role 2,2012-01-03 03:53:02,13,0,2012-01-03 03:32:29
Case13,Turning & Milling Q.C.,res_6aa7bdbb-6c30-46f3-8394-149218c3309e,Role 6,2012-01-03 04:41:16,13,0,2012-01-03 04:11:10
Case8,Round Grinding,res_6aa7bdbb-6c30-46f3-8394-149218c3309e,Role 3,2012-01-03 04:44:42,13,0,2012-01-03 04:11:19
Case14,Turning & Milling Q.C.,res_6aa7bdbb-6c30-46f3-8394-149218c3309e,Role 6,2012-01-03 05:01:56,13,1,2012-01-03 04:33:53
Case18,Turning & Milling,res_48c69a5f-03d2-41e0-a484-cfc1bd7c180c,Role 1,2012-01-03 05:59:26,14,0,2012-01-03 05:39:02
Case10,Stress Relief,res_48c69a5f-03d2-41e0-a484-cfc1bd7c180c,Role 1,2012-01-03 06:34:43,14,0,2012-01-03 06:03:33
Case15,Turning & Milling Q.C.,res_03ebc20b-61d2-4954-b915-e4c29ec4fb7c,Role 6,2012-01-03 07:04:33,14,0,2012-01-03 06:37:07
Case19,Round Grinding,res_03ebc20b-61d2-4954-b915-e4c29ec4fb7c,Role 3,2012-01-03 07:06:30,15,0,2012-01-03 06:48:32
Case20,Turn & Mill. & Screw Assem,res_03ebc20b-61d2-4954-b915-e4c29ec4fb7c,Role 1,2012-01-03 07:50:15,16,0,2012-01-03 07:30:48
Case6,Round Grinding,res_48c69a5f-03d2-41e0-a484-cfc1bd7c180c,Role 3,2012-01-03 08:06:52,16,0,2012-01-03 07:32:37
Case16,Round Grinding,res_48c69a5f-03d2-41e0-a484-cfc1bd7c180c,Role 3,2012-01-03 08:09:19,16,1,2012-01-03 07:43:50
Case21,Round Grinding,res_03ebc20b-61d2-4954-b915-e4c29ec4fb7c,Role 3,2012-01-03 08:37:33,16,0,2012-01-03 08:17:10
Case11,Stress Relief,res_03ebc20b-61d2-4954-b915-e4c29ec4fb7c,Role 1,2012-01-03 08:39:21,16,0,2012-01-03 08:06:43
Case17,Final Inspection,res_03ebc20b-61d2-4954-b915-e4c29ec4fb7c,Role 1,2012-01-03 08:40:12,15,0,2012-01-03 08:14:35
Case22,Turning,res_6aa7bdbb-6c30-46f3-8394-149218c3309e,Role 1,2012-01-03 09:23:18,16,0,2012-01-03 09:03:53
Case12,Round Grinding,res_6aa7bdbb-6c30-46f3-8394-149218c3309e,Role 3,2012-01-03 09:30:11,16,0,2012-01-03 09:09:04
Case7,Turning & Milling Q.C.,res_6aa7bdbb-6c30-46f3-8394-149218c3309e,Role 6,2012-01-03 09:46:33,16,0,2012-01-03 09:12:14
Case18,Lapping,res_a23de9ec-ed4b-40f3-bbf5-c9f0985d3ab6,Role 8,2012-01-03 10:43:27,16,0,2012-01-03 10:19:07
Case13,Packing,res_a23de9ec-ed4b-40f3-bbf5-c9f0985d3ab6,Role 2,2012-01-03 10:51:22,16,0,2012-01-03 10:24:27
Case14,Packing,res_a23de9ec-ed4b-40f3-bbf5-c9f0985d3ab6,Role 2,2012-01-03 10:58:40,16,1,2012-01-03 10:36:28
Case19,Flat Grinding,res_03ebc20b-61d2-4954-b915-e4c29ec4fb7c,Role 7,2012-01-03 11:49:05,16,0,2012-01-03 11:28:07
Case23,Turning & Milling,res_6aa7bdbb-6c30-46f3-8394-149218c3309e,Role 1,2012-01-03 12:01:00,17,0,2012-01-03 11:44:27
Case3,Final Inspection Q.C.,res_a23de9ec-ed4b-40f3-bbf5-c9f0985d3ab6,Role 3,2012-01-03 12:20:02,17,0,2012-01-03 11:48:46
Case20,Turning & Milling Q.C.,res_a23de9ec-ed4b-40f3-bbf5-c9f0985d3ab6,Role 6,2012-01-03 12:22:29,17,0,2012-01-03 11:59:30
Case24,Packing,res_a23de9ec-ed4b-40f3-bbf5-c9f0985d3ab6,Role 2,2012-01-03 12:23:02,18,0,2012-01-03 12:04:30
Case8,Turning & Milling Q.C.,res_e3586c1b-5a5c-4a12-9109-8c0f2963e3db,Role 6,2012-01-03 13:05:41,18,0,2012-01-03 12:40:22
Case15,Packing,res_e3586c1b-5a5c-4a12-9109-8c0f2963e3db,Role 2,2012-01-03 13:11:14,18,0,2012-01-03 12:51:22
Case21,Turning & Milling Q.C.,res_a23de9ec-ed4b-40f3-bbf5-c9f0985d3ab6,Role 6,2012-01-03 13:31:49,18,0,2012-01-03 13:11:15
Case25,Packing,res_a23de9ec-ed4b-40f3-bbf5-c9f0985d3ab6,Role 2,2012-01-03 13:39:38,19,0,2012-01-03 13:23:43
Case22,Turning Q.C.,res_f51ca602-89ef-48d4-86e7-605b47390e39,Role 1,2012-01-03 14:17:52,19,0,2012-01-03 13:57:50
Case10,Turning & Milling,res_8db1c604-1359-4e3f-8a69-22e42c9694b7,Role 1,2012-01-03 14:30:32,19,0,2012-01-03 14:09:09
Case26,Lapping,res_eb796550-ce37-4bc9-be26-807816ae3dd2,Role 8,2012-01-03 14:36:18,20,0,2012-01-03 14:19:26
Case16,Grinding Rework,res_eb796550-ce37-4bc9-be26-807816ae3dd2,Role 1,2012-01-03 14:51:27,19,0,2012-01-03 14:34:26
Case27,SETUP     Turning & Milling,res_f8a24faf-d295-4c98-9f16-a54e94798881,Role 10,2012-01-03 15:26:10,20,0,2012-01-03 15:09:20
Case28,Round Grinding,res_48c69a5f-03d2-41e0-a484-cfc1bd7c180c,Role 3,2012-01-03 16:35:44,21,0,2012-01-03 16:19:51
Case23,Turning Q.C.,res_f51ca602-89ef-48d4-86e7-605b47390e39,Role 1,2012-01-03 16:49:57,21,0,2012-01-03 16:34:34
Case11,Turning & Milling,res_f51ca602-89ef-48d4-86e7-605b47390e39,Role 1,2012-01-03 16:50:34,21,0,2012-01-03 16:29:38
Case24,Grinding Rework,res_f51ca602-89ef-48d4-86e7-605b47390e39,Role 1,2012-01-03 16:55:15,21,0,2012-01-03 16:40:07
Case18,Turning & Milling Q.C.,res_6aa7bdbb-6c30-46f3-8394-149218c3309e,Role 6,2012-01-03 17:21:39,21,0,2012-01-03 17:08:56
Case12,Flat Grinding,res_e1675b9f-3ce2-46ea-a41d-e02790562cb1,Role 7,2012-01-03 17:54:12,21,0,2012-01-03 17:46:15
Case25,Grinding Rework,res_03ebc20b-61d2-4954-b915-e4c29ec4fb7c,Role 1,2012-01-03 18:07:38,21,0,2012-01-03 17:54:34
Case19,Final Inspection Q.C.,res_03ebc20b-61d2-4954-b915-e4c29ec4fb7c,Role 3,2012-01-03 18:12:49,21,0,2012-01-03 18:03:21
Case13,Round Grinding,res_03ebc20b-61d2-4954-b915-e4c29ec4fb7c,Role 3,2012-01-03 18:41:53,20,0,2012-01-03 18:28:48
Case20,Packing,res_03ebc20b-61d2-4954-b915-e4c29ec4fb7c,Role 2,2012-01-03 18:43:08,20,0,2012-01-03 18:30:39
Case7,Nitration Q.C.,res_03ebc20b-61d2-4954-b915-e4c29ec4fb7c,Role 1,2012-01-03 18:46:00,20,0,2012-01-03 18:26:33
Case14,Round Grinding,res_03ebc20b-61d2-4954-b915-e4c29ec4fb7c,Role 3,2012-01-03 18:52:08,20,1,2012-01-03 18:41:33
Case26,Packing,res_eb796550-ce37-4bc9-be26-807816ae3dd2,Role 2,2012-01-03 19:11:59,20,0,2012-01-03 18:57:35
Case29,Turning,res_eb796550-ce37-4bc9-be26-807816ae3dd2,Role 1,2012-01-03 19:14:07,21,0,2012-01-03 18:59:11
Case30,Milling,res_f51ca602-89ef-48d4-86e7-605b47390e39,Role 1,2012-01-03 19:51:11,22,0,2012-01-03 19:36:14
Case27,Turning & Milling,res_f51ca602-89ef-48d4-86e7-605b47390e39,Role 1,2012-01-03 19:52:08,22,0,2012-01-03 19:39:41
Case21,Round Grinding,res_03ebc20b-61d2-4954-b915-e4c29ec4fb7c,Role 3,2012-01-03 20:26:30,22,0,2012-01-03 20:19:51
Case31,Round Grinding,res_48c69a5f-03d2-41e0-a484-cfc1bd7c180c,Role 3,2012-01-03 20:42:52,23,0,2012-01-03 20:28:58
Case22,Turning,res_48c69a5f-03d2-41e0-a484-cfc1bd7c180c,Role 1,2012-01-03 20:49:59,23,0,2012-01-03 20:42:35
Case15,Final Inspection,res_f51ca602-89ef-48d4-86e7-605b47390e39,Role 1,2012-01-03 21:07:19,23,0,2012-01-03 21:04:27
Case28,Turning & Milling Q.C.,res_f51ca602-89ef-48d4-86e7-605b47390e39,Role 6,2012-01-03 21:10:52,23,0,2012-01-03 21:00:30
Case32,Laser Marking,res_e1675b9f-3ce2-46ea-a41d-e02790562cb1,Role 7,2012-01-03 21:50:47,23,0,2012-01-03 21:36:33
Case33,Laser Marking,res_e1675b9f-3ce2-46ea-a41d-e02790562cb1,Role 7,2012-01-03 22:31:54,23,0,2012-01-03 22:17:37
Case23,Lapping,res_8db1c604-1359-4e3f-8a69-22e42c9694b7,Role 8,2012-01-03 23:17:53,23,0,2012-01-03 23:17:53
Case8,Turning,res_8db1c604-1359-4e3f-8a69-22e42c9694b7,Role 1,2012-01-03 23:18:16,23,0,2012-01-03 23:11:05
Case24,Lapping,res_8db1c604-1359-4e3f-8a69-22e42c9694b7,Role 8,2012-01-03 23:21:26,23,0,2012-01-03 23:21:26
Case16,Fix,res_f51ca602-89ef-48d4-86e7-605b47390e39,Role 1,2012-01-03 23:22:47,23,0,2012-01-03 23:21:51
Case29,Turning Q.C.,res_f51ca602-89ef-48d4-86e7-605b47390e39,Role 1,2012-01-03 23:33:02,23,0,2012-01-03 23:24:39
Case3,Turning & Milling Q.C.,res_f51ca602-89ef-48d4-86e7-605b47390e39,Role 6,2012-01-03 23:33:11,23,0,2012-01-03 23:20:00
Case30,Turning & Milling Q.C.,res_6aa7bdbb-6c30-46f3-8394-149218c3309e,Role 6,2012-01-04 00:18:01,22,0,2012-01-04 00:05:15
Case25,Final Inspection Q.C.,res_03ebc20b-61d2-4954-b915-e4c29ec4fb7c,Role 3,2012-01-04 00:24:45,21,0,2012-01-04 00:21:23
Case31,Lapping,res_8db1c604-1359-4e3f-8a69-22e42c9694b7,Role 8,2012-01-04 01:02:30,21,0,2012-01-04 00:49:50
Case34,Turning & Milling,res_48c69a5f-03d2-41e0-a484-cfc1bd7c180c,Role 1,2012-01-04 01:24:08,22,0,2012-01-04 01:07:47
Case26,Final Inspection Q.C.,res_03ebc20b-61d2-4954-b915-e4c29ec4fb7c,Role 3,2012-01-04 02:00:56,22,0,2012-01-04 01:57:56
Case18,Round Grinding,res_03ebc20b-61d2-4954-b915-e4c29ec4fb7c,Role 3,2012-01-04 02:09:16,22,0,2012-01-04 02:09:16
Case27,Laser Marking,res_e1675b9f-3ce2-46ea-a41d-e02790562cb1,Role 7,2012-01-04 02:26:12,22,0,2012-01-04 02:25:04
Case33,Lapping,res_8db1c604-1359-4e3f-8a69-22e42c9694b7,Role 8,2012-01-04 02:44:50,22,0,2012-01-04 02:32:46
Case11,Turning & Milling Q.C.,res_6aa7bdbb-6c30-46f3-8394-149218c3309e,Role 6,2012-01-04 03:14:23,22,0,2012-01-04 03:11:24
Case20,Round Grinding,res_03ebc20b-61d2-4954-b915-e4c29ec4fb7c,Role 3,2012-01-04 03:18:41,22,0,2012-01-04 03:18:41
Case12,Lapping,res_8db1c604-1359-4e3f-8a69-22e42c9694b7,Role 8,2012-01-04 03:57:12,22,0,2012-01-04 03:57:12
Case28,Turn & Mill. & Screw Assem,res_48c69a5f-03d2-41e0-a484-cfc1bd7c180c,Role 1,2012-01-04 04:05:47,22,0,2012-01-04 04:05:47
Case13,Laser Marking,res_e1675b9f-3ce2-46ea-a41d-e02790562cb1,Role 7,2012-01-04 04:14:16,22,0,2012-01-04 04:14:16
Case14,Lapping,res_8db1c604-1359-4e3f-8a69-22e42c9694b7,Role 8,2012-01-04 04:53:48,22,0,2012-01-04 04:53:48
Case7,Laser Marking,res_e1675b9f-3ce2-46ea-a41d-e02790562cb1,Role 7,2012-01-04 05:12:19,22,0,2012-01-04 05:08:55
Case35,SETUP     Turning & Milling,res_f8a24faf-d295-4c98-9f16-a54e94798881,Role 10,2012-01-04 05:39:31,23,0,2012-01-04 05:24:15
Case22,Packing,res_a23de9ec-ed4b-40f3-bbf5-c9f0985d3ab6,Role 2,2012-01-04 05:46:04,23,0,2012-01-04 05:46:04
Case34,Lapping,res_8db1c604-1359-4e3f-8a69-22e42c9694b7,Role 8,2012-01-04 06:02:34,23,0,2012-01-04 05:51:50
Case21,Flat Grinding,res_e1675b9f-3ce2-46ea-a41d-e02790562cb1,Role 7,2012-01-04 06:08:12,23,0,2012-01-04 06:08:12
Case29,Lapping,res_8db1c604-1359-4e3f-8a69-22e42c9694b7,Role 8,2012-01-04 06:22:06,23,0,2012-01-04 06:22:06
Case36,Setup,res_eb796550-ce37-4bc9-be26-807816ae3dd2,Role 1,2012-01-04 06:47:43,24,0,2012-01-04 06:33:42
Case37,Round Grinding,res_03ebc20b-61d2-4954-b915-e4c29ec4fb7c,Role 3,2012-01-04 07:53:51,25,0,2012-01-04 07:40:55
Case31,Final Inspection Q.C.,res_03ebc20b-61d2-4954-b915-e4c29ec4fb7c,Role 3,2012-01-04 08:15:58,26,0,2012-01-04 08:15:58
Case38,Turning,res_03ebc20b-61d2-4954-b915-e4c29ec4fb7c,Role 1,2012-01-04 08:16:26,26,0,2012-01-04 08:04:59
Case23,Turning & Milling,res_eb796550-ce37-4bc9-be26-807816ae3dd2,Role 1,2012-01-04 08:40:58,26,0,2012-01-04 08:40:58
Case24,Laser Marking,res_e1675b9f-3ce2-46ea-a41d-e02790562cb1,Role 7,2012-01-04 09:02:30,26,0,2012-01-04 09:02:30
Case39,Laser Marking,res_e1675b9f-3ce2-46ea-a41d-e02790562cb1,Role 7,2012-01-04 09:19:48,27,0,2012-01-04 09:09:18
Case33,Turning & Milling Q.C.,res_6aa7bdbb-6c30-46f3-8394-149218c3309e,Role 6,2012-01-04 09:48:14,26,0,2012-01-04 09:48:14
Case25,Round Grinding,res_03ebc20b-61d2-4954-b915-e4c29ec4fb7c,Role 3,2012-01-04 10:04:53,26,0,2012-01-04 10:04:53
Case35,Turning & Milling,res_03ebc20b-61d2-4954-b915-e4c29ec4fb7c,Role 1,2012-01-04 10:09:48,26,0,2012-01-04 10:03:32
Case16,Turning & Milling Q.C.,res_6aa7bdbb-6c30-46f3-8394-149218c3309e,Role 6,2012-01-04 10:38:47,27,1,2012-01-04 10:38:47
Case40,Turning & Milling Q.C.,res_6aa7bdbb-6c30-46f3-8394-149218c3309e,Role 6,2012-01-04 10:40:51,27,0,2012-01-04 10:30:24
Case36,Turning & Milling,res_eb796550-ce37-4bc9-be26-807816ae3dd2,Role 1,2012-01-04 11:11:47,27,0,2012-01-04 11:07:54
Case8,Turning Q.C.,res_48c69a5f-03d2-41e0-a484-cfc1bd7c180c,Role 1,2012-01-04 11:18:49,27,0,2012-01-04 11:18:49
Case37,Packing,res_a23de9ec-ed4b-40f3-bbf5-c9f0985d3ab6,Role 2,2012-01-04 12:12:38,27,0,2012-01-04 12:09:45
Case26,Lapping,res_8db1c604-1359-4e3f-8a69-22e42c9694b7,Role 8,2012-01-04 12:22:23,27,0,2012-01-04 12:22:23
Case38,Turning Q.C.,res_f51ca602-89ef-48d4-86e7-605b47390e39,Role 1,2012-01-04 12:31:21,27,0,2012-01-04 12:30:00
Case27,Turning & Milling Q.C.,res_6aa7bdbb-6c30-46f3-8394-149218c3309e,Role 6,2012-01-04 12:38:22,27,0,2012-01-04 12:38:22
Case41,Turning,res_f51ca602-89ef-48d4-86e7-605b47390e39,Role 1,2012-01-04 13:06:25,28,0,2012-01-04 12:57:18
Case42,Lapping,res_8db1c604-1359-4e3f-8a69-22e42c9694b7,Role 8,2012-01-04 13:24:32,29,0,2012-01-04 13:16:50
Case34,Turning & Milling Q.C.,res_6aa7bdbb-6c30-46f3-8394-149218c3309e,Role 6,2012-01-04 13:34:14,29,0,2012-01-04 13:34:14
Case18,Grinding Rework,res_f51ca602-89ef-48d4-86e7-605b47390e39,Role 1,2012-01-04 14:05:16,29,0,2012-01-04 14:05:16
Case28,Turning & Milling Q.C.,res_6aa7bdbb-6c30-46f3-8394-149218c3309e,Role 6,2012-01-04 14:45:42,29,0,2012-01-04 14:45:42
Case40,Round Grinding,res_03ebc20b-61d2-4954-b915-e4c29ec4fb7c,Role 3,2012-01-04 14:52:31,30,0,2012-01-04 14:52:31
Case43,Turning & Milling Q.C.,res_03ebc20b-61d2-4954-b915-e4c29ec4fb7c,Role 6,2012-01-04 14:55:05,30,0,2012-01-04 14:48:30
Case20,Turning & Milling Q.C.,res_6aa7bdbb-6c30-46f3-8394-149218c3309e,Role 6,2012-01-04 14:56:29,30,0,2012-01-04 14:56:29
Case44,Packing,res_a23de9ec-ed4b-40f3-bbf5-c9f0985d3ab6,Role 2,2012-01-04 15:44:48,31,0,2012-01-04 15:39:20
Case13,Lapping,res_8db1c604-1359-4e3f-8a69-22e42c9694b7,Role 8,2012-01-04 15:46:55,31,0,2012-01-04 15:46:55
Case12,Packing,res_a23de9ec-ed4b-40f3-bbf5-c9f0985d3ab6,Role 2,2012-01-04 16:13:04,31,0,2012-01-04 16:13:04
Case11,Round Grinding,res_03ebc20b-61d2-4954-b915-e4c29ec4fb7c,Role 3,2012-01-04 16:19:35,30,0,2012-01-04 16:19:35
Case29,Turning & Milling Q.C.,res_6aa7bdbb-6c30-46f3-8394-149218c3309e,Role 6,2012-01-04 16:44:03,30,0,2012-01-04 16:44:03
Case14,Packing,res_a23de9ec-ed4b-40f3-bbf5-c9f0985d3ab6,Role 2,2012-01-04 17:10:06,30,0,2012-01-04 17:10:06
Case41,Turning Q.C.,res_48c69a5f-03d2-41e0-a484-cfc1bd7c180c,Role 1,2012-01-04 17:13:37,30,0,2012-01-04 17:13:37
Case42,Final Inspection Q.C.,res_03ebc20b-61d2-4954-b915-e4c29ec4fb7c,Role 3,2012-01-04 17:30:23,31,0,2012-01-04 17:30:23
Case45,Turning & Milling,res_03ebc20b-61d2-4954-b915-e4c29ec4fb7c,Role 1,2012-01-04 17:33:50,31,0,2012-01-04 17:28:15
Case35,Laser Marking,res_e1675b9f-3ce2-46ea-a41d-e02790562cb1,Role 7,2012-01-04 17:35:21,30,0,2012-01-04 17:35:21
Case7,Lapping,res_8db1c604-1359-4e3f-8a69-22e42c9694b7,Role 8,2012-01-04 17:44:09,30,0,2012-01-04 17:44:09
Case22,Round Grinding,res_03ebc20b-61d2-4954-b915-e4c29ec4fb7c,Role 3,2012-01-04 17:50:19,30,0,2012-01-04 17:50:19
Case36,Laser Marking,res_e1675b9f-3ce2-46ea-a41d-e02790562cb1,Role 7,2012-01-04 18:35:52,29,0,2012-01-04 18:35:52
Case43,Turning & Milling,res_f51ca602-89ef-48d4-86e7-605b47390e39,Role 1,2012-01-04 18:56:34,29,0,2012-01-04 18:56:34
Case21,Final Inspection Q.C.,res_03ebc20b-61d2-4954-b915-e4c29ec4fb7c,Role 3,2012-01-04 19:02:36,29,0,2012-01-04 19:02:36
Case31,Round Grinding,res_03ebc20b-61d2-4954-b915-e4c29ec4fb7c,Role 3,2012-01-04 19:08:59,29,0,2012-01-04 19:08:59
Case37,Final Inspection Q.C.,res_03ebc20b-61d2-4954-b915-e4c29ec4fb7c,Role 3,2012-01-04 19:38:43,28,0,2012-01-04 19:38:43
Case44,Final Inspection Q.C.,res_03ebc20b-61d2-4954-b915-e4c29ec4fb7c,Role 3,2012-01-04 19:44:38,28,0,2012-01-04 19:44:38
Case38,Turning,res_eb796550-ce37-4bc9-be26-807816ae3dd2,Role 1,2012-01-04 19:59:15,28,0,2012-01-04 19:59:15
Case33,Lapping,res_8db1c604-1359-4e3f-8a69-22e42c9694b7,Role 8,2012-01-04 20:25:43,28,0,2012-01-04 20:25:43
Case23,Lapping,res_8db1c604-1359-4e3f-8a69-22e42c9694b7,Role 8,2012-01-04 21:07:52,28,0,2012-01-04 21:07:52
Case24,Round Grinding,res_03ebc20b-61d2-4954-b915-e4c29ec4fb7c,Role 3,2012-01-04 21:38:13,28,0,2012-01-04 21:38:13
Case40,Lapping,res_8db1c604-1359-4e3f-8a69-22e42c9694b7,Role 8,2012-01-04 22:31:14,28,0,2012-01-04 22:31:14
Case25,Grinding Rework,res_eb796550-ce37-4bc9-be26-807816ae3dd2,Role 1,2012-01-04 22:33:29,28,0,2012-01-04 22:33:29
Case34,Lapping,res_8db1c604-1359-4e3f-8a69-22e42c9694b7,Role 8,2012-01-05 00:15:16,28,0,2012-01-05 00:15:16
Case16,Packing,res_a23de9ec-ed4b-40f3-bbf5-c9f0985d3ab6,Role 2,2012-01-05 00:15:41,28,0,2012-01-05 00:15:41
Case41,Laser Marking,res_e1675b9f-3ce2-46ea-a41d-e02790562cb1,Role 7,2012-01-05 00:36:17,28,0,2012-01-05 00:36:17
Case42,Lapping,res_8db1c604-1359-4e3f-8a69-22e42c9694b7,Role 8,2012-01-05 00:54:01,28,0,2012-01-05 00:54:01
Case8,Lapping,res_8db1c604-1359-4e3f-8a69-22e42c9694b7,Role 8,2012-01-05 01:29:11,28,0,2012-01-05 01:29:11
Case26,Final Inspection Q.C.,res_03ebc20b-61d2-4954-b915-e4c29ec4fb7c,Role 3,2012-01-05 01:39:12,28,0,2012-01-05 01:39:12
Case27,Packing,res_a23de9ec-ed4b-40f3-bbf5-c9f0985d3ab6,Role 2,2012-01-05 01:41:55,28,0,2012-01-05 01:41:55
Case43,Round Grinding,res_03ebc20b-61d2-4954-b915-e4c29ec4fb7c,Role 3,2012-01-05 02:25:57,27,0,2012-01-05 02:25:57
Case44,Packing,res_a23de9ec-ed4b-40f3-bbf5-c9f0985d3ab6,Role 2,2012-01-05 03:13:50,26,0,2012-01-05 03:13:50
Case18,Fix,res_eb796550-ce37-4bc9-be26-807816ae3dd2,Role 1,2012-01-05 04:08:41,26,0,2012-01-05 04:08:41
Case28,Lapping,res_8db1c604-1359-4e3f-8a69-22e42c9694b7,Role 8,2012-01-05 04:13:30,26,0,2012-01-05 04:13:30
Case35,Turning & Milling,res_f51ca602-89ef-48d4-86e7-605b47390e39,Role 1,2012-01-05 04:24:51,26,0,2012-01-05 04:24:51
Case20,Turning & Milling,res_48c69a5f-03d2-41e0-a484-cfc1bd7c180c,Role 1,2012-01-05 04:35:39,26,0,2012-01-05 04:35:39
Case13,Turning & Milling,res_48c69a5f-03d2-41e0-a484-cfc1bd7c180c,Role 1,2012-01-05 04:55:08,26,0,2012-01-05 04:55:08
Case36,Final Inspection Q.C.,res_03ebc20b-61d2-4954-b915-e4c29ec4fb7c,Role 3,2012-01-05 05:34:53,26,0,2012-01-05 05:34:53
Case29,Laser Marking,res_e1675b9f-3ce2-46ea-a41d-e02790562cb1,Role 7,2012-01-05 05:45:18,26,0,2012-01-05 05:45:18
Case37,Round Grinding,res_03ebc20b-61d2-4954-b915-e4c29ec4fb7c,Role 3,2012-01-05 06:45:21,26,0,2012-01-05 06:45:21
