caseid,task,resource,role,end_timestamp,pr_instances,tsk_start_inst,start_timestamp
Case25,Traer informacion estudiante - banner,res_12fe26d8-fa58-4948-b96c-d2de10cacc0c,Role 1,2016-02-04 01:33:32,52,0,2016-02-04 01:32:57
Case25,Radicar Solicitud Homologacion,res_33777998-d786-488a-bc8e-3cfb4ed7ba91,Role 1,2016-02-04 01:42:12,52,0,2016-02-04 01:33:43
Case25,Validar solicitud,res_54d1d38e-f1d3-4208-88c6-b531c51c49f6,Role 1,2016-02-04 02:09:41,52,0,2016-02-04 01:42:23
Case9,Notificacion estudiante cancelacion soli,res_66a33e13-9bba-4191-8dd1-3d33f9ce4d00,Role 1,2016-02-04 02:11:46,52,0,2016-02-04 02:11:46
Case26,Traer informacion estudiante - banner,res_f540cb75-67a2-4607-962e-27eb48098caa,Role 1,2016-02-04 03:50:00,52,0,2016-02-04 03:49:26
Case26,Radicar Solicitud Homologacion,res_ba2b3126-c605-40d3-a61f-13bb2323b0ed,Role 1,2016-02-04 03:58:32,52,0,2016-02-04 03:50:11
Case23,Homologacion por grupo de cursos,res_0e34733f-eb69-4650-b1ec-29093f214e28,Role 1,2016-02-04 04:00:36,52,0,2016-02-04 04:00:28
Case26,Validar solicitud,res_0e34733f-eb69-4650-b1ec-29093f214e28,Role 1,2016-02-04 04:24:38,52,0,2016-02-04 03:58:43
Case11,Visto Bueno Cierre Proceso,res_775814f5-213e-4a7b-b783-a301b7a27c43,Role 1,2016-02-04 04:25:15,51,0,2016-02-04 04:24:50
Case24,Radicar Solicitud Homologacion,res_25abebfe-c4b4-47ac-99c4-4f5756813052,Role 1,2016-02-04 04:36:51,50,0,2016-02-04 04:36:51
Case25,Homologacion por grupo de cursos,res_01a2b741-50f9-491a-965e-1a398838787b,Role 1,2016-02-04 04:38:08,50,0,2016-02-04 04:38:08
Case20,Revisar curso,res_f6519ad1-2a5b-40c6-a329-c58b8780b20a,Role 1,2016-02-04 04:57:23,50,0,2016-02-04 04:53:25
Case22,Notificacion estudiante cancelacion soli,res_18439388-36c1-4ccb-b248-38d8edce9b30,Role 1,2016-02-04 06:08:16,50,0,2016-02-04 06:08:16
Case27,Traer informacion estudiante - banner,res_79da00c0-cd4c-47fe-8e0c-f6965478903c,Role 1,2016-02-04 06:33:30,50,0,2016-02-04 06:32:58
Case27,Radicar Solicitud Homologacion,res_52fafc0a-aef8-4587-a8ec-d99410de1545,Role 1,2016-02-04 06:41:52,50,0,2016-02-04 06:33:41
Case26,Homologacion por grupo de cursos,res_5cf804e7-60b9-4e54-a547-0d4ea06e634d,Role 1,2016-02-04 06:53:32,50,0,2016-02-04 06:53:32
Case27,Validar solicitud,res_5cf804e7-60b9-4e54-a547-0d4ea06e634d,Role 1,2016-02-04 07:06:26,50,0,2016-02-04 06:42:03
Case25,Evaluacion curso,res_a78e6749-d416-476e-9a07-f7579bd34331,Role 1,2016-02-04 07:26:48,49,0,2016-02-04 07:26:48
Case20,Homologacion por grupo de cursos,res_6d565e5a-208e-4d00-8a7b-2f396dbb13a3,Role 1,2016-02-04 07:28:18,49,0,2016-02-04 07:26:52
Case24,Validar solicitud,res_fdf35900-5422-4302-8ee8-e99cb6faa164,Role 1,2016-02-04 08:25:13,49,0,2016-02-04 08:17:54
Case27,Notificacion estudiante cancelacion soli,res_dca9cfb9-7b9c-4edb-acff-19afa774957d,Role 1,2016-02-04 10:09:54,49,0,2016-02-04 10:09:54
Case25,Validacion final,res_f2f2aa64-f6b4-4c46-b75c-7eab6d979126,Role 1,2016-02-04 10:17:58,48,0,2016-02-04 10:17:49
Case20,Evaluacion curso,res_f1e43cfc-1f91-4882-908f-1bb934e0a311,Role 1,2016-02-04 10:29:53,48,0,2016-02-04 10:29:34
Case24,Homologacion por grupo de cursos,res_74e005fb-d975-4a16-9b20-83d2f9317b20,Role 1,2016-02-04 10:38:05,48,0,2016-02-04 10:33:59
Case3,Homologacion por grupo de cursos,res_ecb7318a-89e1-43a3-b768-3e16765cc4ea,Role 1,2016-02-04 11:53:42,47,0,2016-02-04 11:48:03
Case20,Validacion final,res_f690d3f5-3667-4746-aaee-e869e7ecd310,Role 1,2016-02-04 13:26:52,47,0,2016-02-04 13:26:50
Case28,Notificacion estudiante cancelacion soli,res_ecd3e306-05f7-4ed9-a46a-1261d4c996d8,Role 1,2016-02-04 13:41:05,48,0,2016-02-04 13:40:44
Case25,Visto Bueno Cierre Proceso,res_4d18362e-f7e7-4022-8e6f-36a585c5c4f6,Role 1,2016-02-04 13:47:03,47,0,2016-02-04 13:47:03
Case29,Traer informacion estudiante - banner,res_8cfbb1b4-8111-49be-b112-877393ee6e5d,Role 1,2016-02-04 15:25:50,47,0,2016-02-04 15:25:21
Case29,Radicar Solicitud Homologacion,res_08afd99f-979c-48be-a437-6db8eb7777ae,Role 1,2016-02-04 15:33:55,47,0,2016-02-04 15:26:01
Case30,Validar solicitud,res_25abebfe-c4b4-47ac-99c4-4f5756813052,Role 1,2016-02-04 15:49:03,48,0,2016-02-04 15:48:35
Case30,Homologacion por grupo de cursos,res_39d90615-ddb0-4393-aa6c-c84eb728fa53,Role 1,2016-02-04 15:52:30,48,0,2016-02-04 15:49:14
Case29,Cancelar Solicitud,res_9221337b-1556-4792-a1d9-20c21d5252e9,Role 1,2016-02-04 16:12:49,47,0,2016-02-04 16:12:49
Case20,Visto Bueno Cierre Proceso,res_ddf16f00-20b8-462b-909d-f1fc450920e5,Role 1,2016-02-04 16:51:15,46,0,2016-02-04 16:51:15
Case31,Traer informacion estudiante - banner,res_15df2855-c3cd-485f-a668-62d45a9e80b2,Role 1,2016-02-04 17:35:57,47,0,2016-02-04 17:35:29
Case31,Radicar Solicitud Homologacion,res_d5999c74-e647-479f-80fb-4b93798eea66,Role 1,2016-02-04 17:44:00,47,0,2016-02-04 17:36:08
Case31,Validar solicitud,res_2d1f7244-a5e2-4722-9f5f-47d56a65a0f8,Role 1,2016-02-04 18:06:12,47,0,2016-02-04 17:44:11
Case32,Traer informacion estudiante - banner,res_bbca5b93-d480-4f14-ab99-ece3c37476a3,Role 1,2016-02-04 19:04:36,48,0,2016-02-04 19:04:08
Case1,Evaluacion curso,res_7cdd59c7-b4a6-41cb-af89-c4f810025dd0,Role 1,2016-02-04 19:06:23,47,0,2016-02-04 19:00:58
Case32,Radicar Solicitud Homologacion,res_7cdd59c7-b4a6-41cb-af89-c4f810025dd0,Role 1,2016-02-04 19:12:37,48,0,2016-02-04 19:04:47
Case32,Validar solicitud,res_e6ebf83c-02e7-4e96-9aaf-50871febe606,Role 1,2016-02-04 19:34:43,48,0,2016-02-04 19:12:48
Case20,Transferir Creditos,res_8889aaab-3fce-4195-9af8-ac2f48bec735,Role 1,2016-02-04 19:36:14,48,0,2016-02-04 19:36:10
Case33,Traer informacion estudiante - banner,res_29ecae31-35da-4a59-b08d-19aab14afc86,Role 1,2016-02-04 20:19:51,48,0,2016-02-04 20:19:24
Case33,Radicar Solicitud Homologacion,res_950825f3-4584-4d02-b413-d75ce36470e9,Role 1,2016-02-04 20:27:51,48,0,2016-02-04 20:20:02
Case31,Homologacion por grupo de cursos,res_c068b6ea-b11a-4f2d-9f9b-e4414a946edc,Role 1,2016-02-04 20:38:45,48,0,2016-02-04 20:38:45
Case33,Validar solicitud,res_c068b6ea-b11a-4f2d-9f9b-e4414a946edc,Role 1,2016-02-04 20:50:00,48,0,2016-02-04 20:28:02
Case32,Revisar curso,res_790d4b8d-598e-4766-a4ba-5ab56682fb71,Role 1,2016-02-04 21:55:29,47,0,2016-02-04 21:39:01
Case34,Traer informacion estudiante - banner,res_d9458843-f381-42b6-969c-1be7a97a8118,Role 1,2016-02-04 22:54:58,48,0,2016-02-04 22:54:31
Case34,Radicar Solicitud Homologacion,res_f6fae571-bfd1-449a-aade-8973fc55d0d9,Role 1,2016-02-04 23:02:57,48,0,2016-02-04 22:55:09
Case33,Homologacion por grupo de cursos,res_35077a5a-43ec-42f8-a73d-ddfbbdeb948f,Role 1,2016-02-04 23:22:02,48,0,2016-02-04 23:22:02
Case34,Cancelar Solicitud,res_67a6ce25-7883-46f9-95de-9e276d469fb0,Role 1,2016-02-04 23:40:24,48,0,2016-02-04 23:40:24
Case35,Traer informacion estudiante - banner,res_15df2855-c3cd-485f-a668-62d45a9e80b2,Role 1,2016-02-04 23:59:40,49,0,2016-02-04 23:59:13
Case35,Radicar Solicitud Homologacion,res_0371653c-ad46-4995-b9ef-c212dba705c7,Role 1,2016-02-05 00:07:38,49,0,2016-02-04 23:59:51
Case32,Notificacion estudiante cancelacion soli,res_1a30f934-76e7-48f3-90f8-b2ce82834411,Role 1,2016-02-05 01:27:34,49,0,2016-02-05 01:20:24
Case35,Cancelar Solicitud,res_4e65f67e-ed84-46ed-b49a-2e6e5d1a05d7,Role 1,2016-02-05 01:51:11,48,0,2016-02-05 01:51:11
Case36,Traer informacion estudiante - banner,res_c5ea3efc-d0fe-4e2d-ad58-c88ef6091ecd,Role 1,2016-02-05 02:15:25,49,0,2016-02-05 02:14:47
Case36,Radicar Solicitud Homologacion,res_4085ccba-088e-46ff-82f2-390ccd7b790b,Role 1,2016-02-05 02:20:29,49,0,2016-02-05 02:15:36
Case33,Revisar curso,res_4085ccba-088e-46ff-82f2-390ccd7b790b,Role 1,2016-02-05 02:28:37,48,0,2016-02-05 02:12:52
Case34,Notificacion estudiante cancelacion soli,res_35077a5a-43ec-42f8-a73d-ddfbbdeb948f,Role 1,2016-02-05 03:35:05,49,0,2016-02-05 03:35:05
Case37,Traer informacion estudiante - banner,res_b86aac90-4dae-48c1-b41c-52cd1c2cf153,Role 1,2016-02-05 05:00:59,49,0,2016-02-05 05:00:23
Case37,Radicar Solicitud Homologacion,res_4fa302c1-db8a-46ec-a466-0f21d3239ea9,Role 1,2016-02-05 05:05:56,49,0,2016-02-05 05:01:10
Case2,Validar solicitud,res_2f5f3ee1-330c-4bb7-94ee-fa7f6e2e7676,Role 1,2016-02-05 05:21:55,49,0,2016-02-05 05:15:09
Case33,Homologacion por grupo de cursos,res_278a45a8-860f-4107-b9db-f6d037f790af,Role 1,2016-02-05 05:52:04,49,0,2016-02-05 05:46:10
Case38,Traer informacion estudiante - banner,res_a41d2d7b-81aa-4ce5-8d79-6e7ebe8ad497,Role 1,2016-02-05 08:40:12,49,0,2016-02-05 08:39:38
Case38,Radicar Solicitud Homologacion,res_173e358d-a958-4a43-9190-438134dd1bcf,Role 1,2016-02-05 08:45:00,49,0,2016-02-05 08:40:23
Case35,Revisar curso,res_5ca8a9cd-6f9f-4c6e-a641-3367161c36b1,Role 1,2016-02-05 09:38:09,49,0,2016-02-05 09:19:13
Case36,Cancelar Solicitud,res_cef0b60a-35d5-4c72-996c-1a0a2c4d58a2,Role 1,2016-02-05 09:47:53,49,0,2016-02-05 09:45:38
Case37,Validar solicitud,res_bb67a01c-40e0-4ac1-8c3d-de86d6a73819,Role 1,2016-02-05 11:06:52,49,0,2016-02-05 10:51:39
Case4,Evaluacion curso,res_e9a157fb-c4fc-45e6-8499-436941e4e9be,Role 1,2016-02-05 11:35:26,49,0,2016-02-05 11:26:49
Case39,Traer informacion estudiante - banner,res_bb6b1580-3665-4f6d-b633-58d0fe02f189,Role 1,2016-02-05 12:22:53,50,0,2016-02-05 12:22:21
Case39,Radicar Solicitud Homologacion,res_ea880914-fe8d-4cf0-b80f-663848432d94,Role 1,2016-02-05 12:27:36,50,0,2016-02-05 12:23:04
Case40,Traer informacion estudiante - banner,res_2f5f3ee1-330c-4bb7-94ee-fa7f6e2e7676,Role 1,2016-02-05 12:58:36,51,0,2016-02-05 12:58:04
Case40,Radicar Solicitud Homologacion,res_95183948-480e-4f73-a027-7209f76b3d34,Role 1,2016-02-05 13:03:20,51,0,2016-02-05 12:58:47
Case41,Traer informacion estudiante - banner,res_69fdb037-abca-4844-9cd2-3fa2d83dd21f,Role 1,2016-02-05 13:50:34,52,0,2016-02-05 13:50:03
Case41,Radicar Solicitud Homologacion,res_8a3f6ba6-9862-4e42-a3fb-c0fa51fdec47,Role 1,2016-02-05 13:55:19,52,0,2016-02-05 13:50:45
Case38,Validar solicitud,res_39d90615-ddb0-4393-aa6c-c84eb728fa53,Role 1,2016-02-05 14:45:14,52,0,2016-02-05 14:30:43
